open,high,low,close,Volume,Volume MA,Date
53.4,53.68,52.86,52.95,230506.93,680111.4939999973,2022-02-13
52.95,53.44,52.55,52.86,319499.6,679607.4404999972,2022-02-13
52.87,52.96,51.02,51.59,561423.76,681011.9804999973,2022-02-13
51.6,52.43,51.31,51.65,428734.43,602255.1889999972,2022-02-13
51.66,52.98,51.41,52.58,557824.39,580997.7489999973,2022-02-14
52.58,53.09,52.32,52.62,361636.26,549962.1549999972,2022-02-14
52.63,52.7,51.57,51.83,354523.71,527044.1114999973,2022-02-14
51.84,54.37,51.52,54.2,801253.89,546787.9279999973,2022-02-14
54.2,54.6,52.34,52.9,568930.41,555209.0414999973,2022-02-14
52.89,54.13,52.3,53.8,338841.99,540298.8319999974,2022-02-14
53.8,55.73,53.76,54.87,490419.98,512635.13449999737,2022-02-15
54.89,55.3,54.61,55.05,348867.48,475806.81449999736,2022-02-15
55.05,56.67,54.96,56.29,768904.58,488881.91399999737,2022-02-15
56.28,56.99,55.84,56.33,596410.67,486681.7569999973,2022-02-15
56.35,56.58,55.66,55.87,287526.62,472572.8979999973,2022-02-15
55.87,57.1,55.46,56.82,325077.96,454001.6114999973,2022-02-15
56.84,56.86,55.92,56.02,308192.12,438878.27199999726,2022-02-16
56.01,56.79,55.62,56.73,206179.15,429675.9824999973,2022-02-16
56.73,58.28,56.72,57.32,528887.2,436435.8384999972,2022-02-16
57.31,57.46,55.42,55.79,672761.59,452820.13599999726,2022-02-16
55.79,57.18,55.12,56.94,471957.19,464892.6489999973,2022-02-16
56.95,57.08,55.62,56.04,257844.33,461809.8854999973,2022-02-16
56.05,56.63,55.67,55.7,259615.23,446719.4589999973,2022-02-17
55.69,56.85,55.13,56.79,339470.36,442256.2554999973,2022-02-17
56.79,57.16,55.34,55.69,420095.9,435369.83099999727,2022-02-17
55.69,56.5,53.87,54.31,651776.75,449876.85549999727,2022-02-17
54.31,54.51,51.91,52.22,672949.38,465798.1389999973,2022-02-17
52.21,52.22,50.09,50.28,690149.8,460242.9344999973,2022-02-17
50.29,51.32,50.1,50.94,577295.43,460661.1854999972,2022-02-18
50.94,51.35,50.43,51.26,390337.81,463235.97649999725,2022-02-18
51.27,51.85,50.52,50.6,431007.97,460265.37599999725,2022-02-18
50.62,51.3,48.86,49.55,1206177.75,503130.88949999725,2022-02-18
49.55,50.9,49.09,50.62,729616.37,501166.4789999972,2022-02-18
50.63,51.12,50.11,50.59,350472.6,488869.5754999972,2022-02-18
50.59,51.86,50.38,51.57,313094.28,490147.9584999972,2022-02-19
51.58,52.87,51.47,52.3,345340.02,491161.0614999972,2022-02-19
52.3,52.62,50.38,50.77,741016.12,512802.2614999971,2022-02-19
50.77,51.18,50.19,50.84,383668.47,521676.7274999971,2022-02-19
50.85,51.55,50.12,50.26,339103.33,512187.5339999972,2022-02-19
50.26,50.66,49.89,50.48,266079.13,491853.4109999972,2022-02-19
50.48,50.7,49.44,49.51,427370.56,489624.0794999973,2022-02-20
49.51,49.68,47.29,48.31,757664.86,514615.1059999972,2022-02-20
48.31,49.36,47.39,49.3,570876.33,530178.1609999973,2022-02-20
49.31,49.54,47.91,49.4,525461.44,539477.7149999973,2022-02-20
49.38,50.06,49.15,49.4,423582.18,539652.0289999972,2022-02-20
49.4,50.44,48.7,49.34,482704.32,531198.4074999972,2022-02-20
49.32,51.32,49.16,50.41,503440.63,522722.9699999973,2022-02-21
50.39,52.07,50.37,51.96,433908.62,509910.9109999972,2022-02-21
51.95,52.32,49.88,50.2,727113.59,517401.8189999972,2022-02-21
